id,otel_id,otel_ad,yorum,opinion,score
1,98,Aurasia Beach Hotel,"Pozitif yonu, Konum, kahvalti gayet guzel.",olumlu,0.9964004755020142
2,98,Aurasia Beach Hotel,"Negatif yonu, Otopark ama buyuk sorun degil.",olumsuz,0.9915766716003418
3,98,Aurasia Beach Hotel,"Pozitif yonu, Konumu, restorani ve genel olarak hizmeti iyiydi.",olumlu,0.9982702136039734
4,98,Aurasia Beach Hotel,"Negatif yonu, Cift olarak konaklamamiza ragmen tekli yataklarin birlestirilmesiyle olusan yatakta uyumak zorunda kaldik, odaya yerlestikten sonra fark ettigimiz icin konu hakkinda yardim istemedik. Soylesek yardim edebilirler miydi bilmiyorum.",olumsuz,0.9985470771789551
5,98,Aurasia Beach Hotel,"Pozitif yonu, Personeller cok guleryuzlu Konum olarak cok iyi",olumlu,0.9989517331123352
6,98,Aurasia Beach Hotel,"Negatif yonu, Kahvalti secenegi arttirilmali Daha fazla temizlige ozen gosterilmeli Havuz bakimina daha fazla onem verilmeli",olumsuz,0.9966024160385132
7,1,Adam Eve,"Pozitif yonu, Animasyon ve eglence cok basarili. Oda konforu harika.",olumlu,0.9968373775482178
8,1,Adam Eve,"Negatif yonu, Personel sayisi yetersiz. Hijyeni yeterince onem verilmiyor. Snack ve bar sayisi yetersiz.",olumsuz,0.9980152249336243
9,1,Adam Eve,"Pozitif yonu, Yetiskin otel oldugu icin cocuk seslerinin olmamasi iyiydi. Personellerin hepsi cok guzel davraniyor.",olumlu,0.9987403154373169
10,1,Adam Eve,"Negatif yonu, Pek olumsuz yonleri yoktu fiyat performans oteli denebilir.",olumsuz,0.7923430800437927
11,1,Adam Eve,"Pozitif yonu, Cocuk olmamasi",olumlu,0.9969190359115601
12,1,Adam Eve,"Negatif yonu, Yemek kalitesi daha iyi olabilir",olumsuz,0.9921005368232727
13,1,Adam Eve,"Pozitif yonu, Eglencesi ortam ickiler odanin rahatligi sampanya ikrami hepsi harika",olumlu,0.9985597729682922
